metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1740295172,0.130800,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_waiting,1740295172,68.984400,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_receiving,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_failed,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
auth_duration,1740295172,69.115200,,,,,,,,,rampup,,,,,,,
http_reqs,1740295172,1.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_duration,1740295172,54.948900,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_blocked,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_connecting,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_tls_handshaking,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_sending,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_waiting,1740295172,54.948900,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_receiving,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
http_req_failed,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,HTTP/1.1,rampup,,201,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/batch-jobs,,
checks,1740295172,1.000000,Export Order - verify export response status,,,,,,,,rampup,,,,,,,
exportOrder_ResponseTime,1740295172,54.948900,,,,,,,,,rampup,,,,,,vu=3,
exportOrder_SuccessRate,1740295172,1.000000,,,,,,,,,rampup,,,,,,vu=3,
exportOrder_RequestCount,1740295172,1.000000,,,,,,,,,rampup,,,,,,vu=3,
data_sent,1740295172,2253.000000,,,,,,,,,rampup,,,,,,,
data_received,1740295172,3248.000000,,,,,,,,,rampup,,,,,,,
iteration_duration,1740295172,126.609600,,,,,,,,,rampup,,,,,,,
iterations,1740295172,1.000000,,,,,,,,,rampup,,,,,,,
http_reqs,1740295172,1.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_duration,1740295172,75.449000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_blocked,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_connecting,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
http_req_tls_handshaking,1740295172,0.000000,,,,true,,POST,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,HTTP/1.1,rampup,,200,,tls1.3,https://hei-oms-apac-qa-mm-backend.azurewebsites.net/admin/auth,,
